Period,tavg,tmin,tmax,prcp,wspd,pres,tsun
1/1/2022,0.5,-3.2,4.2,13.2,9.8,1018,
2/1/2022,3.4,-1.9,9,6.6,8.8,1017.8,
3/1/2022,7.1,1.4,12.8,,,,
4/1/2022,10.5,4.6,16.5,70.5,9.6,1012,
5/1/2022,16.3,9.3,23,,7.3,1017.3,
6/1/2022,21.5,14.3,28.2,32.3,7.9,1014.6,
7/1/2022,23.2,16.2,29.5,42,7.7,1015.3,
8/1/2022,22.9,17.5,29.3,29.1,8.1,1012.9,
9/1/2022,15.7,10.4,21.7,36.5,6.4,1013.1,
10/1/2022,11.5,4.9,18.7,18.3,6.4,1022.7,
11/1/2022,6.2,2.5,9.8,52.6,7.6,1019.2,
12/1/2022,1.7,-1.1,4.9,20.9,8.3,1020.5,
1/1/2023,3,0.2,6.2,33.4,9.6,1019.8,
2/1/2023,1.7,-2,6.1,24.1,9.4,1022.4,
3/1/2023,5.5,1.4,9.6,,,,
4/1/2023,8.6,4.7,13,112.7,10,1012.9,
5/1/2023,15.5,9.3,21.6,44.7,8,1019.1,
6/1/2023,20.2,13.8,26.2,59.2,7.8,1014.7,
7/1/2023,23.4,16.9,30.2,81,7.2,1012.4,
8/1/2023,24.2,16.8,31.8,20.1,6.5,1014.2,
9/1/2023,19.3,12.8,26.6,20.1,7.4,1020.2,
10/1/2023,14,7,21.7,10.9,8,1015.8,
11/1/2023,6.7,2.6,10.9,129.2,9.4,1009.4,
12/1/2023,2,-1.7,6.3,15.2,7.1,1015.9,
1/1/2024,-1.1,-5.9,3.6,63.8,8.5,1018.8,
2/1/2024,6.4,2.1,11.1,7.3,9.2,1016.4,
3/1/2024,10.1,4.4,15.8,,,,
4/1/2024,13.6,6.7,20.4,46.1,7.9,1015.6,
5/1/2024,15.8,8.9,22.4,32.1,7.8,1016.8,
6/1/2024,22.4,15.8,28.8,47.3,6.6,1013.6,
7/1/2024,24.8,17.7,32.1,49.4,7.5,1012.7,
8/1/2024,24.1,17.2,31.3,,6.9,1013.1,
9/1/2024,18.3,13.1,24.6,,8.1,1014.9,
10/1/2024,10.9,6.1,17.1,37.4,7,1021.2,
11/1/2024,3.1,-0.7,8.5,43.8,10,1023.6,
12/1/2024,3.3,-1.2,7.8,,,,
